,Factor 1,Factor 2
pub.1098668291,0.3187211738233373,-0.8805103118248575
pub.1134956492,0.31872108445350156,-0.8805091068420647
pub.1020638577,0.31872134566536037,-0.8805126282797691
pub.1033809236,0.31872108168153573,-0.8805090690899537
pub.1051681557,0.3187209415446185,-0.8805071805973352
pub.1105156396,0.31872080148479104,-0.8805052913909474
pub.1103682519,0.4401691583381262,-0.7585667079139317
pub.1155333414,0.31872018926909207,-0.880497038409945
pub.1028534143,0.3187188064861586,-0.8804783908550461
pub.1163235940,0.318718113095788,-0.8804690431048584
